,Post_ID,Post_Profile,Post_Caption,Post_Date,Post_URL,Post_Likes,Post_Comments,Comment_ID,Comment_Username,Comment_Text,Comment_Time
240,2846471638796506331,yapuae,"Say YES to smarter banking with YAP. Did we mention that you will also receive an AED 50 sign-up bonus? 💰

Offer ends on 30th June, so download YAP today. T&Cs apply.",2022-05-26 06:18:16,https://www.instagram.com/p/CeAst_NsJTb,61,20,17958032986765026,mr_vibecatcher__46,noo,2022-07-13 20:34:58
241,2845887606743856415,yapuae,"One tap to Yap! 📱

Link your YAP card to your Apple Wallet to make secure payments in a blink 👀",2022-05-25 10:58:16,https://www.instagram.com/p/Cd-n7M-p3Uf,97,1,18166828378227763,yapuae,YAP YapUAE DigitalBanking Fintech Security,2022-05-25 10:58:53
242,2844439294933774314,yapuae,The best mobile banking experience from start to finish. Sign up to YAP today and say hello to a smarter way to manage your money.,2022-05-23 11:00:11,https://www.instagram.com/p/Cd5enffsK_q,94,16,17896248398618467,yapuae,YAP YapUAE DigitalBanking Fintech Security,2022-05-23 11:00:25
243,2844439294933774314,yapuae,The best mobile banking experience from start to finish. Sign up to YAP today and say hello to a smarter way to manage your money.,2022-05-23 11:00:11,https://www.instagram.com/p/Cd5enffsK_q,94,16,17984905564464139,haider.ali.shah1,When will it start its service in Pakistan,2022-05-23 11:22:52
244,2844439294933774314,yapuae,The best mobile banking experience from start to finish. Sign up to YAP today and say hello to a smarter way to manage your money.,2022-05-23 11:00:11,https://www.instagram.com/p/Cd5enffsK_q,94,16,17953226824851968,tallyali95,Arabic language needed in app,2022-05-24 14:22:24
245,2844439294933774314,yapuae,The best mobile banking experience from start to finish. Sign up to YAP today and say hello to a smarter way to manage your money.,2022-05-23 11:00:11,https://www.instagram.com/p/Cd5enffsK_q,94,16,17927191421350824,sami.yaqoob.96,    ,2022-05-24 17:38:14
246,2844439294933774314,yapuae,The best mobile banking experience from start to finish. Sign up to YAP today and say hello to a smarter way to manage your money.,2022-05-23 11:00:11,https://www.instagram.com/p/Cd5enffsK_q,94,16,18160670485219782,ahmaddoto,Easy fast and safe to save money ,2022-05-28 13:08:38
247,2844439294933774314,yapuae,The best mobile banking experience from start to finish. Sign up to YAP today and say hello to a smarter way to manage your money.,2022-05-23 11:00:11,https://www.instagram.com/p/Cd5enffsK_q,94,16,17948233660939891,naveedanjum6216,Very nice i also use this ,2022-05-29 05:20:13
248,2844439294933774314,yapuae,The best mobile banking experience from start to finish. Sign up to YAP today and say hello to a smarter way to manage your money.,2022-05-23 11:00:11,https://www.instagram.com/p/Cd5enffsK_q,94,16,18296041759060850,mnofficial0,I didnt receive my bonus ,2022-05-29 18:13:06
249,2844439294933774314,yapuae,The best mobile banking experience from start to finish. Sign up to YAP today and say hello to a smarter way to manage your money.,2022-05-23 11:00:11,https://www.instagram.com/p/Cd5enffsK_q,94,16,18169678246214141,aliusmancheema,It s been 6 months since I got my card but account is still under process very disappointed,2022-05-29 21:47:15
